MQ-3,MQ-4,MQ-135,Label
457,423,67,Orchid White
463,430,68,Orchid White
464,436,68,Orchid White
468,440,69,Orchid White
468,445,70,Orchid White
471,446,70,Orchid White
469,448,71,Orchid White
468,448,72,Orchid White
468,452,73,Orchid White
467,452,75,Orchid White
465,448,75,Orchid White
466,452,76,Orchid White
467,454,77,Orchid White
468,457,77,Orchid White
470,463,79,Orchid White
469,467,79,Orchid White
468,468,79,Orchid White
468,468,80,Orchid White
465,468,82,Orchid White
462,465,84,Orchid White
461,466,85,Orchid White
462,468,87,Orchid White
466,472,86,Orchid White
466,474,85,Orchid White
464,476,85,Orchid White
460,474,87,Orchid White
456,468,80,Orchid White
457,476,85,Orchid White
455,478,85,Orchid White
454,480,84,Orchid White
453,480,84,Orchid White
450,479,84,Orchid White
446,479,84,Orchid White
444,476,85,Orchid White
440,476,87,Orchid White
440,478,87,Orchid White
440,480,88,Orchid White
441,481,89,Orchid White
443,482,90,Orchid White
437,478,93,Orchid White
440,482,94,Orchid White
441,484,94,Orchid White
443,484,96,Orchid White
444,485,94,Orchid White
443,485,95,Orchid White
440,484,96,Orchid White
439,484,96,Orchid White
439,494,96,Orchid White
441,487,97,Orchid White
442,488,95,Orchid White
441,487,95,Orchid White
437,486,93,Orchid White
436,487,92,Orchid White
435,488,92,Orchid White
435,488,91,Orchid White
435,488,92,Orchid White
433,489,91,Orchid White
430,490,92,Orchid White
428,488,92,Orchid White
428,488,91,Orchid White
427,486,92,Orchid White
425,484,92,Orchid White
426,486,95,Orchid White
433,495,96,Orchid White
431,495,93,Orchid White
434,496,95,Orchid White
436,496,95,Orchid White
436,496,96,Orchid White
436,500,96,Orchid White
435,499,97,Orchid White
421,500,96,Orchid White
432,499,100,Orchid White
433,502,98,Orchid White
435,505,98,Orchid White
437,508,98,Orchid White
436,513,95,Orchid White
436,516,94,Orchid White
436,517,94,Orchid White
443,535,92,Orchid White
442,530,92,Orchid White
446,537,91,Orchid White
449,540,89,Orchid White
451,543,90,Orchid White
457,548,90,Orchid White
455,548,92,Orchid White
461,560,90,Orchid White
466,564,90,Orchid White
467,563,92,Orchid White
468,568,90,Orchid White
470,572,89,Orchid White
471,569,89,Orchid White
471,572,89,Orchid White
476,580,90,Orchid White
468,574,89,Orchid White
452,572,84,Orchid White
468,572,87,Orchid White
465,571,88,Orchid White
464,569,89,Orchid White
464,573,87,Orchid White
461,576,86,Orchid White
461,578,85,Orchid White
457,569,80,Orchid White
461,578,85,Orchid White
459,577,85,Orchid White
457,573,84,Orchid White
456,570,84,Orchid White
452,562,84,Orchid White
448,563,84,Orchid White
442,557,83,Orchid White
436,555,82,Orchid White
428,550,83,Orchid White
420,548,80,Orchid White
412,548,78,Orchid White
407,550,78,Orchid White
404,556,77,Orchid White
409,560,78,Orchid White
419,565,78,Orchid White
428,568,79,Orchid White
435,571,82,Orchid White
443,572,80,Orchid White
447,573,80,Orchid White
447,571,80,Orchid White
444,563,81,Orchid White
450,572,81,Orchid White
436,558,79,Orchid White
433,556,78,Orchid White
428,555,78,Orchid White
422,548,79,Orchid White
419,559,78,Orchid White
412,548,76,Orchid White
410,548,76,Orchid White
408,543,77,Orchid White
408,543,76,Orchid White
407,542,78,Orchid White
404,543,77,Orchid White
404,541,77,Orchid White
402,540,77,Orchid White
403,542,76,Orchid White
409,544,77,Orchid White
404,540,77,Orchid White
405,548,77,Orchid White
404,540,77,Orchid White
401,532,70,Orchid White
404,539,76,Orchid White
401,536,76,Orchid White
400,534,77,Orchid White
400,535,76,Orchid White
397,533,76,Orchid White
395,535,76,Orchid White
393,533,75,Orchid White
395,542,76,Orchid White
393,532,76,Orchid White
393,532,74,Orchid White
393,532,74,Orchid White
389,540,74,Orchid White
395,532,75,Orchid White
395,532,76,Orchid White
394,530,75,Orchid White
399,532,77,Orchid White
394,534,77,Orchid White
399,546,76,Orchid White
404,558,76,Orchid White
411,572,76,Orchid White
418,573,72,Orchid White
432,582,78,Orchid White
443,587,77,Orchid White
450,589,78,Orchid White
452,592,79,Orchid White
449,604,77,Orchid White
458,599,81,Orchid White
465,597,83,Orchid White
468,595,82,Orchid White
468,591,82,Orchid White
466,587,81,Orchid White
462,581,81,Orchid White
457,580,83,Orchid White
452,576,83,Orchid White
448,572,82,Orchid White
444,570,83,Orchid White
440,569,84,Orchid White
437,568,83,Orchid White
