MQ-3,MQ-4,MQ-135,Label
132,268,25,none
133,259,28,none
135,259,31,none
135,260,28,none
132,259,28,none
133,259,28,none
135,258,29,none
124,252,24,none
134,255,29,none
132,255,28,none
134,255,28,none
133,255,28,none
134,255,29,none
125,254,27,none
132,255,28,none
133,255,28,none
134,255,30,none
132,253,28,none
132,254,27,none
132,254,28,none
132,253,28,none
132,253,28,none
132,253,27,none
132,252,26,none
132,252,28,none
132,252,29,none
132,252,28,none
132,252,28,none
132,252,27,none
132,251,27,none
132,251,27,none
131,251,27,none
130,248,27,none
131,251,27,none
131,250,28,none
130,248,27,none
131,249,27,none
131,249,27,none
131,249,28,none
120,244,24,none
132,248,30,none
130,248,28,none
127,248,27,none
131,248,27,none
127,247,27,none
127,247,27,none
127,246,28,none
131,248,28,none
131,245,28,none
127,245,26,none
127,245,28,none
127,245,28,none
127,244,25,none
127,244,26,none
127,244,27,none
127,244,27,none
127,244,26,none
131,243,27,none
127,243,27,none
127,243,27,none
127,243,26,none
127,241,28,none
127,242,27,none
127,241,28,none
127,241,27,none
127,241,28,none
127,241,26,none
127,241,26,none
119,236,23,none
127,240,27,none
126,241,24,none
127,240,26,none
127,240,28,none
127,239,27,none
126,244,26,none
127,239,26,none
126,240,26,none
127,239,28,none
126,239,28,none
127,238,28,none
127,238,19,none
127,237,28,none
126,238,28,none
125,237,25,none
124,237,26,none
125,236,26,none
125,237,26,none
126,236,27,none
118,235,25,none
126,236,28,none
124,236,25,none
125,235,26,none
127,236,29,none
125,236,27,none
124,236,25,none
124,236,25,none
126,235,28,none
124,235,26,none
124,227,20,none
124,235,25,none
125,234,29,none
124,234,25,none
123,237,25,none
124,235,25,none
124,234,25,none
124,226,20,none
125,236,26,none
125,234,25,none
126,235,27,none
123,236,25,none
125,233,25,none
124,233,24,none
125,234,25,none
125,234,25,none
125,235,25,none
124,233,24,none
126,232,25,none
125,234,25,none
126,233,25,none
125,233,25,none
126,232,26,none
125,231,25,none
125,233,26,none
127,236,27,none
126,232,27,none
125,233,24,none
125,232,25,none
125,233,25,none
123,235,26,none
125,232,25,none
125,232,25,none
127,224,20,none
125,232,25,none
125,232,25,none
127,233,27,none
127,232,28,none
125,232,25,none
124,232,24,none
124,235,25,none
125,231,25,none
125,231,26,none
125,232,26,none
125,230,25,none
126,231,27,none
125,231,25,none
116,226,21,none
125,231,25,none
127,233,27,none
124,230,24,none
125,231,27,none
125,230,24,none
124,231,23,none
125,230,24,none
125,232,28,none
125,231,25,none
125,229,26,none
125,230,26,none
125,230,25,none
119,229,24,none
124,229,24,none
125,229,25,none
127,232,26,none
124,229,25,none
125,229,25,none
125,229,25,none
124,229,25,none
126,230,26,none
124,229,24,none
125,229,26,none
126,230,25,none
124,229,26,none
126,229,27,none
125,228,24,none
124,229,24,none
125,227,25,none
124,228,25,none
124,228,24,none
125,228,24,none
125,228,24,none
125,228,26,none
124,227,24,none
124,228,25,none
125,228,25,none
124,228,24,none
118,226,23,none
124,228,25,none
125,228,25,none
124,228,25,none
124,228,24,none
125,229,26,none
124,228,23,none
120,229,25,none
124,227,24,none
126,219,18,none
124,227,24,none
126,228,28,none
124,227,24,none
125,228,26,none
124,225,25,none
124,226,24,none
125,227,25,none
123,226,25,none
124,226,25,none
125,227,23,none
124,226,24,none
124,225,24,none
125,228,26,none
124,226,24,none
125,227,25,none
124,226,24,none
125,227,25,none
124,227,26,none
124,225,24,none
124,225,25,none
124,224,24,none
124,225,24,none
124,224,24,none
124,225,24,none
120,225,24,none
124,224,24,none
124,224,24,none
124,224,25,none
124,224,24,none
124,224,26,none
124,224,23,none
125,224,30,none
124,224,24,none
124,224,25,none
124,223,24,none
124,225,25,none
124,224,24,none
123,224,24,none
124,224,25,none
123,223,24,none
118,224,24,none
124,224,24,none
124,224,25,none
124,224,24,none
123,223,24,none
123,223,24,none
124,222,23,none
117,216,20,none
123,223,23,none
123,222,23,none
124,223,27,none
124,223,24,none
123,222,24,none
124,222,25,none
124,221,23,none
123,220,24,none
114,216,20,none
122,222,24,none
122,222,23,none
122,222,24,none
123,221,23,none
123,221,25,none
124,221,16,none
124,212,19,none
115,218,21,none
112,215,20,none
123,221,25,none
123,221,24,none
123,221,24,none
122,220,24,none
122,220,24,none
122,220,23,none
122,220,24,none
119,220,24,none
123,220,24,none
123,220,25,none
122,220,24,none
122,220,24,none
122,220,23,none
122,220,24,none
117,220,24,none
122,219,23,none
122,220,23,none
121,220,24,none
124,220,26,none
122,219,24,none
121,220,23,none
123,219,25,none
122,219,23,none
121,217,22,none
122,219,24,none
122,219,23,none
123,220,24,none
122,219,23,none
123,221,25,none
121,219,23,none
123,220,24,none
121,219,23,none
121,218,24,none
123,219,25,none
122,218,24,none
121,218,24,none
123,217,26,none
122,217,23,none
121,217,22,none
121,217,23,none
123,218,25,none
122,217,25,none
123,218,22,none
121,212,24,none
121,217,24,none
112,211,20,none
122,217,25,none
121,217,23,none
121,217,24,none
121,216,23,none
120,216,23,none
121,216,23,none
121,205,24,none
120,216,23,none
120,216,23,none
120,216,23,none
120,216,23,none
122,216,26,none
121,216,24,none
120,215,23,none
121,215,23,none
120,216,23,none
120,216,25,none
