MQ-3,MQ-4,MQ-135,Label
195,369,37,none
196,360,41,none
196,361,40,none
196,361,40,none
197,360,41,none
197,359,42,none
196,359,41,none
197,359,41,none
197,358,40,none
196,358,41,none
196,356,40,none
196,356,41,none
196,355,41,none
195,356,40,none
196,355,39,none
195,355,39,none
195,354,38,none
195,352,43,none
194,353,40,none
194,353,39,none
195,353,40,none
195,351,41,none
194,338,32,none
196,352,41,none
193,351,40,none
193,351,39,none
193,349,39,none
193,349,39,none
192,347,32,none
192,347,38,none
192,347,38,none
191,347,39,none
192,347,40,none
192,347,38,none
192,347,38,none
191,346,39,none
192,346,38,none
191,345,37,none
191,344,39,none
191,341,41,none
190,343,38,none
191,341,39,none
191,341,40,none
190,342,38,none
189,340,38,none
190,340,37,none
189,340,37,none
184,342,41,none
189,338,39,none
190,340,37,none
189,339,37,none
188,337,38,none
188,338,38,none
188,336,36,none
188,336,37,none
186,336,37,none
188,336,38,none
187,335,37,none
187,334,37,none
182,334,36,none
188,334,39,none
188,335,37,none
187,334,36,none
187,333,36,none
187,333,36,none
186,332,36,none
188,332,36,none
186,331,36,none
187,331,37,none
187,332,37,none
186,328,29,none
186,328,39,none
185,328,38,none
185,329,36,none
185,331,34,none
185,328,36,none
184,327,36,none
184,326,36,none
184,326,36,none
184,319,31,none
184,325,36,none
183,324,36,none
183,324,36,none
184,319,28,none
183,324,35,none
183,324,36,none
183,324,36,none
183,323,36,none
182,322,36,none
182,321,36,none
182,321,36,none
182,321,36,none
182,320,35,none
181,320,34,none
181,320,35,none
180,320,35,none
180,319,35,none
180,317,35,none
180,317,35,none
180,317,35,none
180,317,36,none
180,316,36,none
180,315,38,none
180,315,38,none
177,319,35,none
181,316,36,none
180,315,35,none
179,314,35,none
179,314,34,none
178,313,35,none
179,313,35,none
180,312,34,none
178,312,35,none
179,312,36,none
179,316,36,none
179,310,35,none
177,310,34,none
178,311,33,none
178,310,35,none
178,308,36,none
178,308,36,none
177,308,36,none
172,311,34,none
178,308,34,none
176,308,34,none
177,306,33,none
170,307,33,none
176,307,34,none
169,305,32,none
176,306,34,none
178,307,35,none
176,305,32,none
176,303,28,none
175,304,33,none
175,304,33,none
174,303,33,none
176,303,34,none
175,303,33,none
176,303,34,none
175,300,36,none
174,302,33,none
174,301,33,none
175,300,36,none
174,301,32,none
174,300,33,none
173,293,28,none
174,300,33,none
173,300,32,none
174,299,33,none
175,298,34,none
173,299,36,none
173,298,33,none
172,298,32,none
172,297,32,none
164,294,31,none
173,295,28,none
175,297,32,none
172,296,33,none
172,295,32,none
172,294,32,none
171,293,32,none
172,292,35,none
171,293,32,none
175,292,32,none
172,293,32,none
171,292,32,none
171,292,32,none
173,293,33,none
165,293,32,none
171,289,34,none
171,291,35,none
172,291,33,none
170,291,32,none
170,291,32,none
170,290,32,none
170,290,31,none
170,289,31,none
170,289,32,none
170,289,32,none
170,292,32,none
169,288,32,none
169,288,31,none
169,288,31,none
169,285,34,none
169,287,31,none
168,286,20,none
168,287,32,none
170,285,33,none
167,285,31,none
168,285,32,none
170,288,32,none
168,284,31,none
168,284,30,none
167,284,30,none
167,283,32,none
168,284,32,none
167,284,31,none
167,281,31,none
167,283,32,none
167,283,32,none
167,281,31,none
161,283,31,none
166,281,31,none
167,280,31,none
166,280,32,none
165,279,31,none
166,279,31,none
166,280,31,none
165,279,30,none
165,279,31,none
167,282,31,none
165,277,31,none
164,278,31,none
166,277,32,none
167,277,34,none
167,280,32,none
166,276,32,none
167,278,32,none
165,276,30,none
165,276,31,none
165,276,30,none
164,276,30,none
164,274,30,none
164,272,32,none
164,274,32,none
164,274,30,none
164,273,29,none
164,275,30,none
164,273,31,none
163,272,30,none
164,273,30,none
165,274,30,none
163,272,30,none
163,272,31,none
162,264,26,none
163,271,29,none
163,272,29,none
163,270,32,none
162,271,29,none
162,270,31,none
163,269,33,none
163,269,32,none
162,270,29,none
162,269,29,none
163,268,32,none
161,268,29,none
161,267,30,none
161,267,29,none
154,265,28,none
161,267,29,none
161,267,32,none
160,267,30,none
161,266,29,none
160,266,28,none
160,265,31,none
160,264,29,none
160,264,29,none
160,264,29,none
162,266,30,none
160,263,31,none
160,263,29,none
160,263,29,none
156,266,29,none
160,261,32,none
160,261,29,none
159,262,28,none
160,262,28,none
159,261,29,none
159,260,28,none
153,260,28,none
159,259,32,none
158,259,28,none
158,259,28,none
159,260,28,none
158,259,29,none
158,260,28,none
160,261,29,none
159,258,31,none
159,259,30,none
157,259,28,none
157,258,28,none
157,255,28,none
157,255,29,none
156,255,28,none
156,255,28,none
157,255,28,none
158,254,31,none
157,254,29,none
156,253,28,none
156,254,28,none
152,255,28,none
156,252,28,none
156,252,28,none
156,252,28,none
156,252,28,none
156,252,28,none
156,252,28,none
156,252,30,none
155,252,28,none
157,251,28,none
156,250,30,none
156,251,28,none
155,250,27,none
156,249,29,none
155,250,28,none
156,248,30,none
153,249,28,none
154,248,28,none
153,248,27,none
153,248,27,none
