MQ-3,MQ-4,MQ-135,Label
448,489,68,I Am The King
476,496,74,I Am The King
490,504,77,I Am The King
498,511,79,I Am The King
502,513,81,I Am The King
510,519,80,I Am The King
519,523,85,I Am The King
521,523,89,I Am The King
518,521,91,I Am The King
520,526,89,I Am The King
520,532,89,I Am The King
523,539,92,I Am The King
523,545,95,I Am The King
524,548,96,I Am The King
521,548,100,I Am The King
531,559,106,I Am The King
527,551,107,I Am The King
519,547,105,I Am The King
520,544,105,I Am The King
516,541,105,I Am The King
516,545,104,I Am The King
510,535,103,I Am The King
509,536,101,I Am The King
504,532,103,I Am The King
501,534,103,I Am The King
498,535,104,I Am The King
495,538,104,I Am The King
491,537,105,I Am The King
487,536,104,I Am The King
485,539,105,I Am The King
481,537,107,I Am The King
480,537,106,I Am The King
480,539,105,I Am The King
479,539,107,I Am The King
476,538,108,I Am The King
463,541,104,I Am The King
475,543,108,I Am The King
476,544,108,I Am The King
475,544,111,I Am The King
475,541,112,I Am The King
476,546,113,I Am The King
477,546,113,I Am The King
477,547,114,I Am The King
472,540,117,I Am The King
476,546,116,I Am The King
476,544,117,I Am The King
470,532,111,I Am The King
475,544,116,I Am The King
470,539,117,I Am The King
471,544,117,I Am The King
471,545,115,I Am The King
468,540,116,I Am The King
473,554,115,I Am The King
466,544,113,I Am The King
465,544,111,I Am The King
464,545,110,I Am The King
464,544,108,I Am The King
460,540,108,I Am The King
460,541,106,I Am The King
459,543,105,I Am The King
459,546,105,I Am The King
459,545,105,I Am The King
459,546,105,I Am The King
458,545,107,I Am The King
462,560,107,I Am The King
458,549,107,I Am The King
459,551,106,I Am The King
460,552,105,I Am The King
460,552,105,I Am The King
460,551,104,I Am The King
457,546,106,I Am The King
459,549,103,I Am The King
460,550,103,I Am The King
458,548,103,I Am The King
460,551,103,I Am The King
460,551,102,I Am The King
460,554,103,I Am The King
461,563,106,I Am The King
460,556,107,I Am The King
457,556,105,I Am The King
455,559,103,I Am The King
460,576,102,I Am The King
444,572,97,I Am The King
453,567,100,I Am The King
454,569,98,I Am The King
452,569,97,I Am The King
447,565,88,I Am The King
452,572,95,I Am The King
444,568,93,I Am The King
443,568,92,I Am The King
442,571,92,I Am The King
442,574,91,I Am The King
443,577,91,I Am The King
442,576,92,I Am The King
440,574,92,I Am The King
447,585,91,I Am The King
442,588,89,I Am The King
443,593,89,I Am The King
445,599,88,I Am The King
448,604,88,I Am The King
