MQ-3,MQ-4,MQ-135,Label
463,427,57,I Am The King
480,441,60,I Am The King
480,445,63,I Am The King
485,460,64,I Am The King
488,477,63,I Am The King
491,492,65,I Am The King
491,502,64,I Am The King
500,524,67,I Am The King
497,527,68,I Am The King
498,533,68,I Am The King
500,542,69,I Am The King
505,551,68,I Am The King
508,560,70,I Am The King
510,567,70,I Am The King
519,579,72,I Am The King
511,578,73,I Am The King
510,583,72,I Am The King
519,604,74,I Am The King
517,593,76,I Am The King
517,584,78,I Am The King
521,586,78,I Am The King
513,580,80,I Am The King
520,582,83,I Am The King
501,565,84,I Am The King
496,563,86,I Am The King
495,563,90,I Am The King
492,561,92,I Am The King
491,557,96,I Am The King
496,564,96,I Am The King
496,564,99,I Am The King
499,580,94,I Am The King
502,589,94,I Am The King
508,608,92,I Am The King
510,612,92,I Am The King
516,620,92,I Am The King
518,626,92,I Am The King
521,630,92,I Am The King
521,629,91,I Am The King
524,627,93,I Am The King
517,613,98,I Am The King
515,612,96,I Am The King
513,609,96,I Am The King
503,601,99,I Am The King
504,604,97,I Am The King
496,595,98,I Am The King
497,601,96,I Am The King
496,612,94,I Am The King
492,616,84,I Am The King
498,628,92,I Am The King
503,633,93,I Am The King
505,639,92,I Am The King
504,639,92,I Am The King
503,646,93,I Am The King
501,649,94,I Am The King
508,659,93,I Am The King
517,661,94,I Am The King
521,656,96,I Am The King
518,645,96,I Am The King
514,638,97,I Am The King
505,631,97,I Am The King
500,627,100,I Am The King
500,628,100,I Am The King
500,628,101,I Am The King
501,626,102,I Am The King
499,624,101,I Am The King
499,623,101,I Am The King
497,622,101,I Am The King
496,620,101,I Am The King
491,617,100,I Am The King
487,615,103,I Am The King
488,616,103,I Am The King
485,614,104,I Am The King
484,611,106,I Am The King
487,612,107,I Am The King
489,617,108,I Am The King
490,616,108,I Am The King
488,617,107,I Am The King
486,616,105,I Am The King
482,613,105,I Am The King
487,621,105,I Am The King
475,609,106,I Am The King
471,610,105,I Am The King
469,611,104,I Am The King
465,608,104,I Am The King
467,619,105,I Am The King
461,605,104,I Am The King
461,607,100,I Am The King
459,615,100,I Am The King
458,626,98,I Am The King
459,620,92,I Am The King
469,639,99,I Am The King
480,651,100,I Am The King
482,655,98,I Am The King
485,654,99,I Am The King
485,648,99,I Am The King
491,660,98,I Am The King
499,672,100,I Am The King
496,656,100,I Am The King
499,652,99,I Am The King
496,646,97,I Am The King
488,635,98,I Am The King
487,637,95,I Am The King
479,633,94,I Am The King
467,623,95,I Am The King
465,627,92,I Am The King
459,624,90,I Am The King
452,620,92,I Am The King
443,611,80,I Am The King
442,616,88,I Am The King
438,615,88,I Am The King
434,608,89,I Am The King
434,614,89,I Am The King
420,612,86,I Am The King
432,613,92,I Am The King
434,615,94,I Am The King
436,615,96,I Am The King
440,617,96,I Am The King
441,620,97,I Am The King
443,619,98,I Am The King
442,617,98,I Am The King
441,611,100,I Am The King
444,614,99,I Am The King
444,616,97,I Am The King
440,614,98,I Am The King
444,635,95,I Am The King
452,648,95,I Am The King
453,655,93,I Am The King
471,654,95,I Am The King
477,652,96,I Am The King
477,652,97,I Am The King
476,652,97,I Am The King
478,670,96,I Am The King
493,664,97,I Am The King
485,667,94,I Am The King
501,664,98,I Am The King
503,658,98,I Am The King
495,645,100,I Am The King
489,639,100,I Am The King
483,637,101,I Am The King
478,652,100,I Am The King
476,648,101,I Am The King
466,628,102,I Am The King
465,633,100,I Am The King
463,634,100,I Am The King
460,634,101,I Am The King
458,631,102,I Am The King
458,630,104,I Am The King
455,629,102,I Am The King
454,629,101,I Am The King
451,626,102,I Am The King
448,622,103,I Am The King
447,624,101,I Am The King
446,621,100,I Am The King
444,621,96,I Am The King
444,620,97,I Am The King
437,616,99,I Am The King
434,617,99,I Am The King
433,617,102,I Am The King
434,618,101,I Am The King
435,616,101,I Am The King
436,617,101,I Am The King
440,618,101,I Am The King
441,615,101,I Am The King
440,613,102,I Am The King
439,611,102,I Am The King
437,611,101,I Am The King
436,610,102,I Am The King
436,609,102,I Am The King
442,620,102,I Am The King
434,607,101,I Am The King
432,608,100,I Am The King
431,608,99,I Am The King
432,607,98,I Am The King
426,609,96,I Am The King
416,620,92,I Am The King
423,621,94,I Am The King
428,628,95,I Am The King
438,630,96,I Am The King
448,629,95,I Am The King
452,624,96,I Am The King
454,623,95,I Am The King
450,616,96,I Am The King
453,618,97,I Am The King
442,610,96,I Am The King
441,611,95,I Am The King
435,615,94,I Am The King
435,622,92,I Am The King
439,628,92,I Am The King
447,636,93,I Am The King
448,630,85,I Am The King
457,639,94,I Am The King
460,639,93,I Am The King
464,639,92,I Am The King
464,639,93,I Am The King
466,637,92,I Am The King
468,635,92,I Am The King
462,625,95,I Am The King
458,624,93,I Am The King
453,622,92,I Am The King
445,617,93,I Am The King
439,615,92,I Am The King
435,614,91,I Am The King
429,612,91,I Am The King
422,604,93,I Am The King
421,608,90,I Am The King
417,608,91,I Am The King
419,616,91,I Am The King
410,604,90,I Am The King
415,611,91,I Am The King
406,603,88,I Am The King
403,599,89,I Am The King
401,598,89,I Am The King
400,596,89,I Am The King
398,596,87,I Am The King
396,595,88,I Am The King
395,594,88,I Am The King
394,594,86,I Am The King
392,592,84,I Am The King
389,591,84,I Am The King
383,588,87,I Am The King
382,584,86,I Am The King
383,588,84,I Am The King
382,585,84,I Am The King
383,587,84,I Am The King
381,585,84,I Am The King
381,585,84,I Am The King
391,596,85,I Am The King
378,594,84,I Am The King
