MQ-3,MQ-4,MQ-135,Label
95,190,14,none
98,180,20,none
97,180,18,none
97,180,19,none
98,180,9,none
97,180,20,none
97,180,18,none
96,180,16,none
97,180,16,none
96,180,16,none
96,180,17,none
96,180,17,none
97,181,21,none
97,181,19,none
96,181,16,none
97,180,17,none
94,173,12,none
96,183,18,none
97,180,16,none
97,181,19,none
97,180,18,none
96,180,16,none
96,180,16,none
99,181,20,none
96,180,16,none
97,180,19,none
96,180,16,none
97,181,18,none
96,180,16,none
98,181,19,none
96,180,17,none
96,180,16,none
97,180,18,none
96,180,16,none
98,181,19,none
96,180,16,none
97,180,17,none
96,180,17,none
96,180,17,none
97,180,19,none
96,180,16,none
96,181,16,none
95,182,16,none
96,180,19,none
96,180,16,none
96,180,16,none
96,180,17,none
98,181,20,none
97,180,16,none
96,180,16,none
96,180,16,none
96,180,16,none
96,180,16,none
96,180,16,none
96,180,16,none
96,180,16,none
96,180,17,none
96,181,18,none
95,181,20,none
97,181,20,none
97,180,18,none
96,180,17,none
96,180,16,none
96,180,16,none
96,181,17,none
97,181,20,none
94,181,18,none
96,181,17,none
96,181,16,none
96,180,17,none
96,183,17,none
96,180,17,none
96,180,16,none
92,182,17,none
96,180,17,none
96,180,17,none
96,181,17,none
99,180,20,none
96,180,16,none
96,180,17,none
97,181,18,none
96,180,16,none
98,181,20,none
96,180,17,none
95,181,16,none
96,181,18,none
96,180,18,none
95,180,16,none
97,182,18,none
96,180,17,none
96,180,16,none
97,181,17,none
96,181,17,none
96,180,16,none
95,180,16,none
96,180,17,none
96,183,18,none
94,182,16,none
96,180,18,none
96,180,17,none
96,180,16,none
96,180,17,none
96,180,17,none
95,180,16,none
96,180,16,none
96,181,17,none
96,181,17,none
95,183,18,none
96,180,16,none
96,180,16,none
96,181,17,none
95,183,17,none
95,180,17,none
95,182,19,none
96,181,19,none
96,181,18,none
96,180,16,none
95,180,16,none
97,181,20,none
96,180,17,none
96,181,20,none
96,181,13,none
96,180,18,none
96,180,16,none
97,181,18,none
95,182,16,none
96,180,16,none
96,181,19,none
95,181,16,none
95,180,16,none
89,179,16,none
96,180,17,none
95,180,17,none
96,180,17,none
96,180,19,none
96,180,19,none
95,180,16,none
95,180,17,none
96,180,17,none
96,180,16,none
96,180,17,none
96,180,17,none
96,180,17,none
96,180,17,none
96,180,17,none
94,180,16,none
96,180,17,none
95,180,16,none
96,180,17,none
88,174,13,none
95,180,17,none
95,180,16,none
96,181,18,none
96,181,17,none
96,181,16,none
96,181,20,none
95,180,17,none
96,181,17,none
96,180,16,none
96,180,17,none
95,180,16,none
96,181,18,none
96,180,18,none
95,181,16,none
95,181,16,none
96,180,17,none
96,181,20,none
96,181,17,none
96,180,16,none
95,180,16,none
95,180,16,none
95,180,16,none
96,180,17,none
97,182,18,none
87,175,15,none
93,183,17,none
95,183,17,none
95,180,17,none
94,180,17,none
95,180,17,none
96,180,17,none
95,180,17,none
95,180,16,none
95,181,17,none
96,180,19,none
93,180,17,none
95,179,15,none
95,180,17,none
94,182,18,none
94,180,17,none
95,180,17,none
98,179,17,none
95,180,17,none
96,171,11,none
94,186,16,none
94,182,17,none
95,180,17,none
96,180,19,none
94,180,17,none
95,180,18,none
94,180,16,none
96,180,19,none
94,179,16,none
96,171,11,none
95,180,17,none
96,181,17,none
93,180,17,none
90,180,17,none
95,179,17,none
93,180,16,none
96,181,21,none
94,179,16,none
93,181,18,none
94,180,17,none
94,179,17,none
96,179,20,none
94,180,17,none
96,179,20,none
94,179,16,none
94,180,17,none
94,179,17,none
94,179,17,none
93,181,18,none
94,180,17,none
93,179,17,none
96,180,20,none
93,179,16,none
94,179,17,none
94,179,17,none
94,180,16,none
95,180,18,none
93,179,17,none
94,179,18,none
93,178,16,none
95,180,18,none
93,179,16,none
95,180,18,none
92,178,16,none
93,178,17,none
93,179,16,none
94,182,18,none
93,178,16,none
93,179,17,none
94,178,19,none
92,178,17,none
94,178,17,none
93,179,17,none
94,179,19,none
93,178,18,none
95,178,19,none
92,178,17,none
95,179,9,none
93,177,16,none
93,178,18,none
92,177,17,none
93,177,17,none
92,176,18,none
93,178,17,none
93,177,16,none
84,172,14,none
93,177,17,none
93,177,17,none
94,178,20,none
93,177,17,none
92,178,16,none
94,177,18,none
94,178,19,none
92,180,18,none
93,177,19,none
92,177,17,none
92,177,17,none
93,178,17,none
93,178,18,none
92,176,17,none
92,177,16,none
92,176,16,none
92,177,17,none
92,177,17,none
93,176,17,none
93,177,19,none
92,177,17,none
92,176,17,none
92,176,16,none
92,176,18,none
94,177,19,none
92,176,16,none
92,176,16,none
89,178,16,none
92,176,17,none
92,176,17,none
